player_id,name,sub_position,age,snapshot_date,horizon_months,outcome_due_date,model,current_value_eur,predicted_pct_change,predicted_value_eur,pct_q10,pct_q90
538963,Ruben Roosken,Left-Back,25.73579739904175,2025-11-26,6,2026-08-04,xgboost,700000,0.21124434,847871.0412979126,-0.15501341,0.6937342
538977,Georginio Rutter,Centre-Forward,24.12046543463381,2026-06-03,6,2027-02-11,xgboost,30000000,-0.03289515,29013145.454227924,-0.19725996,0.2681386
540664,Dilane Bakwa,Right Winger,23.770020533880903,2026-06-03,6,2027-02-11,xgboost,28000000,-0.06609789,26149259.001016617,-0.24257188,0.263303
540941,Mikkel Damsgaard,Attacking Midfield,25.916495550992472,2026-06-03,6,2027-02-11,xgboost,30000000,-0.0016930746,29949207.762256265,-0.18353426,0.21994102
541231,Sepp van den Berg,Centre-Back,24.451745379876797,2026-06-03,6,2027-02-11,xgboost,32000000,0.016732348,32535435.140132904,-0.16831645,0.28360373
542586,Illan Meslier,Goalkeeper,26.253251197809718,2026-06-03,6,2027-02-11,xgboost,8000000,-0.15587315,6753014.802932739,-0.38854924,0.27124345
543164,Rhys Norrington-Davies,Left-Back,27.09924709103354,2026-05-28,6,2027-02-06,xgboost,2500000,0.11304966,2782624.1590082645,-0.22380075,0.4618932
543387,Cheick Doucouré,Defensive Midfield,26.401095140314855,2026-06-03,6,2027-02-11,xgboost,10000000,-0.17825428,8217457.234859467,-0.38392878,0.25604838
543499,Mohammed Kudus,Right Winger,25.83436002737851,2026-06-03,6,2027-02-11,xgboost,50000000,-0.11584588,44207705.929875374,-0.28613585,0.1331724
547039,Isaak Davies,Left Winger,24.62696783025325,2026-05-12,6,2027-01-21,xgboost,1000000,-0.027905717,972094.2825078964,-0.3148912,0.5375067
548729,Zeki Amdouni,Centre-Forward,25.49486652977413,2026-06-03,6,2027-02-11,xgboost,7000000,-0.1782331,5752368.286252022,-0.3824922,0.30310488
553875,Pedro Porro,Right-Back,26.72142368240931,2026-06-03,6,2027-02-11,xgboost,35000000,-0.105075814,31322346.51595354,-0.29265612,0.14621964
556385,Destiny Udogie,Left-Back,23.512662559890487,2026-06-03,6,2027-02-11,xgboost,30000000,-0.13817029,25854891.389608383,-0.32677197,0.2702927
557459,Micky van de Ven,Centre-Back,25.12251882272416,2026-06-03,6,2027-02-11,xgboost,50000000,-0.084451444,45777427.77764797,-0.29556918,0.20451878
559263,Fábio Carvalho,Attacking Midfield,23.759069130732374,2026-06-03,6,2027-02-11,xgboost,8000000,-0.062158987,7502728.10459137,-0.3467213,0.42921904
559794,Jack Clarke,Left Winger,25.026694045174537,2025-12-03,6,2026-08-12,xgboost,15000000,-0.04351297,14347305.446863174,-0.2132445,0.30795762
564529,Victor Kristiansen,Left-Back,23.446954140999317,2026-05-28,6,2027-02-06,xgboost,9000000,-0.094287515,8151412.36782074,-0.36209896,0.44418225
565093,Bart Verbruggen,Goalkeeper,23.79192334017796,2026-06-03,6,2027-02-11,xgboost,40000000,0.009198366,40367934.6293211,-0.16691902,0.294868
